1.0 6.028875532138045e-8
2.0 4.968995437337753e-8
3.0 5.0599287631642326e-8
4.0 3.900832477545289e-8
5.0 3.987881867463837e-8
6.0 3.3639064969457e-8
7.0 3.6461429055488175e-8
8.0 3.884412391741421e-8
9.0 3.7162195918829006e-8
10.0 3.5247902682081864e-8
11.0 3.360636627100724e-8
12.0 3.4985162561823174e-8
13.0 3.531735997669854e-8
14.0 3.923791742803491e-8
15.0 4.046564355392617e-8
16.0 4.780404301467474e-8
17.0 5.421394164364721e-8
18.0 6.729328690861044e-8
19.0 7.546280755832413e-8
20.0 8.37355136340534e-8
21.0 8.34378612014374e-8
22.0 6.647188536353846e-8
23.0 4.661323962715449e-8
24.0 2.0270333599670973e-8
25.0 6.159284040062009e-9
26.0 5.286563904587201e-9
27.0 5.167154669950291e-9
28.0 3.661406750437707e-9
29.0 3.35827960312302e-9
30.0 3.1547980125714923e-9
31.0 5.09345470074589e-9
32.0 3.682267448222267e-9
33.0 3.3230885906258085e-9
34.0 2.39673762887531e-9
35.0 2.7311809566080787e-9
36.0 3.533996155542678e-9
37.0 2.5098165767900582e-9
38.0 1.9697693390915343e-9
39.0 3.3558416900037766e-9
40.0 3.207038720057872e-9
41.0 2.5997334712330327e-9
42.0 3.957397554953646e-9
43.0 2.8977147519089366e-9
44.0 2.450854083782325e-9
45.0 2.1847747201119407e-9
46.0 1.6563543528200433e-9
47.0 2.145235271473649e-9
48.0 2.1426426274254813e-9
49.0 2.3193002732022285e-9
50.0 2.4753090175868064e-9
51.0 2.3201598078678933e-9
52.0 2.6370225661218263e-9
53.0 3.351585573177282e-9
54.0 2.135010288220393e-9
55.0 1.5089278715407772e-9
56.0 2.1682436359181057e-9
57.0 1.989756308436068e-9
58.0 2.327052499413622e-9
59.0 3.168510206345095e-9
