Table 2
Summary of Proper-motion Measurements for Forward Shock (FS) and Ejecta Knots (EK)

Azimuth (deg)	Proper Motion (arcsec yr^-1)	Expansion Rate (% yr^-1)	Expansion Index	
274 (FS)	0.325 +or- 0.010  -  0.366 +or- 0.014	0.126 +or- 0.004  -  0.142 +or- 0.005	0.542 +or- 0.016  -  0.142 +or- 0.005	
280 (FS)	0.357 +or- 0.019  -  0.362 +or- 0.023	0.138 +or- 0.007  -  0.140 +or- 0.009	0.559 +or- 0.031  -  0.140 +or- 0.009	
286 (FS)	0.327 +or- 0.013  -  0.359 +or- 0.019	0.127 +or- 0.005  -  0.139 +or- 0.007	0.544 +or- 0.022  -  0.139 +or- 0.007	
292 (FS)	0.328 +or- 0.018  -  0.317 +or- 0.027	0.130 +or- 0.007  -  0.126 +or- 0.011	0.559 +or- 0.031  -  0.126 +or- 0.011	
298 (FS)	0.319 +or- 0.012  -  0.361 +or- 0.017	0.130 +or- 0.005  -  0.147 +or- 0.007	0.558 +or- 0.021  -  0.147 +or- 0.007	
304 (FS)	0.276 +or- 0.013  -  0.322 +or- 0.015	0.115 +or- 0.005  -  0.134 +or- 0.006	0.494 +or- 0.023  -  0.134 +or- 0.006	
310 (FS)	0.314 +or- 0.008  -  0.330 +or- 0.012	0.134 +or- 0.004  -  0.141 +or- 0.005	0.578 +or- 0.015  -  0.141 +or- 0.005	
317 (FS)	0.297 +or- 0.015  -  0.254 +or- 0.021	0.132 +or- 0.007  -  0.113 +or- 0.009	0.567 +or- 0.029  -  0.113 +or- 0.009	
325 (FS)	0.254 +or- 0.011  -  0.261 +or- 0.018	0.113 +or- 0.005  -  0.116 +or- 0.008	0.485 +or- 0.021  -  0.116 +or- 0.008	
337 (FS)	0.272 +or- 0.022  -  0.249 +or- 0.031	0.123 +or- 0.010  -  0.112 +or- 0.014	0.528 +or- 0.043  -  0.112 +or- 0.014	
	
Mean	0.302 (0.059)	0.121 (0.022)	0.522 (0.094)	

Notes. Errors quoted are statistical 1sigma uncertainties. Systematic uncertainties for proper motions, expansion rates, and expansion indices are 0&farcs;061 yr-1 (or 0&farcs;072 yr-1), ~0.024 % yr-1 (or ~0.028 % yr-1), and ~0.103 (or ~0.122) for 2000-2007 (or 2003-2007), respectively. The values in brackets with mean values are standard deviations.
